Title,Ingridients,combined
gurame saus padang,"utama, gurame, saus, bawang putih , bawang merah , cabai merah banyaknya cabai sesuai selera ya, cabai rawit tipis , bawang bombang , saus tiram, saus tomat, garam, gula, lada, wortel tipis memanjang , tomat potong dadu , batang an daun bawang, jahe ukuran tipis, tepung maizena, air, ikan , tepung beras, tepung terigu, garam, jeruk nipis lemon, minyak sayur,","gurame saus padang utama, gurame, saus, bawang putih , bawang merah , cabai merah banyaknya cabai sesuai selera ya, cabai rawit tipis , bawang bombang , saus tiram, saus tomat, garam, gula, lada, wortel tipis memanjang , tomat potong dadu , batang an daun bawang, jahe ukuran tipis, tepung maizena, air, ikan , tepung beras, tepung terigu, garam, jeruk nipis lemon, minyak sayur,"
ikan kembung bakar teflon,"ikan kembung satebersihkan, jeruk sate jeruk kunci, garam halus, lada bubuk, ketumbar bubuk,","ikan kembung bakar teflon ikan kembung satebersihkan, jeruk sate jeruk kunci, garam halus, lada bubuk, ketumbar bubuk,"
mujaer asam pedas manis,"ikan mujaer , wortel potong korek api, bawang bombai, bawang putih, cabai rawit, bawang merah, sendok makan saos tomat, sendok makan saos tiram, garam, merica, air matang, jahe, jeruk nipis,","mujaer asam pedas manis ikan mujaer , wortel potong korek api, bawang bombai, bawang putih, cabai rawit, bawang merah, sendok makan saos tomat, sendok makan saos tiram, garam, merica, air matang, jahe, jeruk nipis,"
gurame asam manis,"ikan gurame, wortel , bumbu, bawang merah, bawang purih, tomat, cabe , cage , sacet saos sambel, saos tomat , tam , tepung maezena, kunir, garamgulamerica ladaku,","gurame asam manis ikan gurame, wortel , bumbu, bawang merah, bawang purih, tomat, cabe , cage , sacet saos sambel, saos tomat , tam , tepung maezena, kunir, garamgulamerica ladaku,"
asam padeh ikan tuna,"ikan tuna, bawang merah, bawang putih, kemiri, batang serai, kunyit, laos, daun jeruk, daun kunyit, asam kandis, belimbing hulu, cabai merah , cabai rawit , gelas air, sendok garam, sendok gula,","asam padeh ikan tuna ikan tuna, bawang merah, bawang putih, kemiri, batang serai, kunyit, laos, daun jeruk, daun kunyit, asam kandis, belimbing hulu, cabai merah , cabai rawit , gelas air, sendok garam, sendok gula,"
avocado tuna salad,"kaleng tuna chunks, butir telur rebus, kentang rebus, avocado, bawang merah, biji zaitun, timun, sebongkol daun salada lettuce, garam & merica,","avocado tuna salad kaleng tuna chunks, butir telur rebus, kentang rebus, avocado, bawang merah, biji zaitun, timun, sebongkol daun salada lettuce, garam & merica,"
lele asam manis,"lele segar, air, kecap manis, margarine minyak, saus tiram , halus , bawang merah, bawang putih, cabe merah , kemiri, garam , penyedap , gula pasir ,","lele asam manis lele segar, air, kecap manis, margarine minyak, saus tiram , halus , bawang merah, bawang putih, cabe merah , kemiri, garam , penyedap , gula pasir ,"
pempek kulit ikan tenggiri,"kulit ikan tenggiri halu, cc air matang, garam, penyedap kaldu jamur, merica, gula, santan kental, bawang putih, bawang merah, sagu tani, terigu, sagu balur,","pempek kulit ikan tenggiri kulit ikan tenggiri halu, cc air matang, garam, penyedap kaldu jamur, merica, gula, santan kental, bawang putih, bawang merah, sagu tani, terigu, sagu balur,"
tumis tongkol petai,"tongkol, cabe gendot, papan petai, cabe rawit, cabe merah, b. merah, b. putih, daun salam, garam, gula putih,","tumis tongkol petai tongkol, cabe gendot, papan petai, cabe rawit, cabe merah, b. merah, b. putih, daun salam, garam, gula putih,"
ikan patin pedas manis,"ikan patin, bawang merah tipis, bawang putih tipis, bawang bombay ukuran tipis, cabai merah keriting tipis, cabai rawit setan biarkan utuh, lengkuas digeprek, daun jeruk, sendok makan kecap, batang bawang daun tipis,","ikan patin pedas manis ikan patin, bawang merah tipis, bawang putih tipis, bawang bombay ukuran tipis, cabai merah keriting tipis, cabai rawit setan biarkan utuh, lengkuas digeprek, daun jeruk, sendok makan kecap, batang bawang daun tipis,"
gurame tauco,"gurame, kotak, jeruk nipis, bawang bombay, bawang putih, jahe, cabe hijau buang biji, cabe merah besar, tauco, kecap asin, kecap manis, saos tiram, minyak wijen, angciu,","gurame tauco gurame, kotak, jeruk nipis, bawang bombay, bawang putih, jahe, cabe hijau buang biji, cabe merah besar, tauco, kecap asin, kecap manis, saos tiram, minyak wijen, angciu,"
ikan patin,"potong ikan patin, jeruk nipis, tomat uk. sedang, cabai hijau keriting , cabai rawit cengek , batang serai , lengkuas , dihaluskan, bawang merah, bawang putih, kemiri, kunyit bubuk, cabai merah besar, nb hoby pedastambahkan cabai sesuai selera ,","ikan patin potong ikan patin, jeruk nipis, tomat uk. sedang, cabai hijau keriting , cabai rawit cengek , batang serai , lengkuas , dihaluskan, bawang merah, bawang putih, kemiri, kunyit bubuk, cabai merah besar, nb hoby pedastambahkan cabai sesuai selera ,"
. gulai ikan kakap merah khas padang,"ikan kakap merah ukuran besarpotong , papan tempe, halus , bawang merah, bawang putih, cm jahe, cm kunyit, tam , cabe giling halus, lbr daun kunyit, lbr daun jeruk, btg sereh, lbr daun salam, asam kandis, daun ruku ruku segenggam , butir rawit merah, santan kara, air,",". gulai ikan kakap merah khas padang ikan kakap merah ukuran besarpotong , papan tempe, halus , bawang merah, bawang putih, cm jahe, cm kunyit, tam , cabe giling halus, lbr daun kunyit, lbr daun jeruk, btg sereh, lbr daun salam, asam kandis, daun ruku ruku segenggam , butir rawit merah, santan kara, air,"
gurame crispy asam manis ala amih fatih,"ikan , ikan gurame fillet, jeruk nipis, lada bubuk, garam, bawang putih, pack tepung pedas, telur kocok lepas, saus , bawang bombay , bawang putih , wortel potong sesuai selera, saus tiram, saus tomat, saus sambal, gula, garam, lada, air,","gurame crispy asam manis ala amih fatih ikan , ikan gurame fillet, jeruk nipis, lada bubuk, garam, bawang putih, pack tepung pedas, telur kocok lepas, saus , bawang bombay , bawang putih , wortel potong sesuai selera, saus tiram, saus tomat, saus sambal, gula, garam, lada, air,"
balado tongkol &,"ikan tongkol , ukuran lecil, daun jeruk, gula & garam, halus , bawang merah, bawang putih, cabe merah, cabe rawit, tomat, gula merah ukuran sedang,","balado tongkol & ikan tongkol , ukuran lecil, daun jeruk, gula & garam, halus , bawang merah, bawang putih, cabe merah, cabe rawit, tomat, gula merah ukuran sedang,"
balado ikan sarden,"ikan sarden, jeruk nipis, garam, balado, cabe keriting, bawang merah, tomat, garam + gula + penyedap rasa,","balado ikan sarden ikan sarden, jeruk nipis, garam, balado, cabe keriting, bawang merah, tomat, garam + gula + penyedap rasa,"
ikan nila (saos pedas asam manis),"ikan nila ukuran jumbo, ons selada, batang buncis , kentang , wortel , saos , bawang bombay ukuran kecil, bawang putih, saos sambal, saos tomat, saos tiram, garam, lada merica bubuk, minyak goreng, gelas air,","ikan nila (saos pedas asam manis) ikan nila ukuran jumbo, ons selada, batang buncis , kentang , wortel , saos , bawang bombay ukuran kecil, bawang putih, saos sambal, saos tomat, saos tiram, garam, lada merica bubuk, minyak goreng, gelas air,"
sarden kangkung 😘,"kaleng ikan sarden, gengam kangkunng , bawangputih, bwng mrah, sesuai selera cabe rawit, btng daun bwang, btng sereh, jahe, lbar daun jeruk, garam, royco, gula, kecap, air, minyak menumis bumbu, kaleng ikan sarden, gengam kangkunng , bawangputih, bwng mrah, sesuai selera cabe rawit, btng daun bwang, btng sereh, jahe, lbar daun jeruk, garam, royco, gula, kecap, air, minyak menumis bumbu,","sarden kangkung 😘 kaleng ikan sarden, gengam kangkunng , bawangputih, bwng mrah, sesuai selera cabe rawit, btng daun bwang, btng sereh, jahe, lbar daun jeruk, garam, royco, gula, kecap, air, minyak menumis bumbu, kaleng ikan sarden, gengam kangkunng , bawangputih, bwng mrah, sesuai selera cabe rawit, btng daun bwang, btng sereh, jahe, lbar daun jeruk, garam, royco, gula, kecap, air, minyak menumis bumbu,"
bandeng presto,"bandengbersihkan, halus , kunyit, bawang merah, bawang putih, jahe, ketumbar, garam, cemplung, lengkuas, daun salam, batang serai, daun jeruk, air, kocokan telur,","bandeng presto bandengbersihkan, halus , kunyit, bawang merah, bawang putih, jahe, ketumbar, garam, cemplung, lengkuas, daun salam, batang serai, daun jeruk, air, kocokan telur,"
. pesmol ikan kerapu,"ikan kerapu potong , halus , bawang merah, bawang putih, cm jahe, cm kunyit, butir kemiri, pelengkap , lbr daun jeruk, lbr daun salam, btg sereh, lengkuas cm , cabe rawit , tomat kecil, wortel kecil, btg daun bawang, jeruk nipis butir , air , garam, gula,",". pesmol ikan kerapu ikan kerapu potong , halus , bawang merah, bawang putih, cm jahe, cm kunyit, butir kemiri, pelengkap , lbr daun jeruk, lbr daun salam, btg sereh, lengkuas cm , cabe rawit , tomat kecil, wortel kecil, btg daun bawang, jeruk nipis butir , air , garam, gula,"
mujair pepes,"mujair uk sedang, btr bawang merah, bawang putih, cm jahe, btr kemiri, kunyit halus, cabe rawit, lbr daun kunyit sobek sobek, tomat potong kecil,","mujair pepes mujair uk sedang, btr bawang merah, bawang putih, cm jahe, btr kemiri, kunyit halus, cabe rawit, lbr daun kunyit sobek sobek, tomat potong kecil,"
ikan dencis sarden pedas nyemek nyemek,"ikan dencis telapak tangan yg digoreng, butir telur puyuh yg rebus, ons terong ungu goreng layu, halus , ons cabe merah, butir cabe rawit, butir kemiri, ons tomat merah, bawang putih, bawang merah, merica putih, yg , ons tomat merah, butir cabe rawit belah dua, cabe merah besar, ons bawang bombay, daun jeruk koyak dua, minyak menumis, air, garam, gula diabetasol , saus cabe, penyedap ,","ikan dencis sarden pedas nyemek nyemek ikan dencis telapak tangan yg digoreng, butir telur puyuh yg rebus, ons terong ungu goreng layu, halus , ons cabe merah, butir cabe rawit, butir kemiri, ons tomat merah, bawang putih, bawang merah, merica putih, yg , ons tomat merah, butir cabe rawit belah dua, cabe merah besar, ons bawang bombay, daun jeruk koyak dua, minyak menumis, air, garam, gula diabetasol , saus cabe, penyedap ,"
sambal ikan lele,"ikan lele , cabe merah keriting, cabe rawit, tomat ukuran sedang, bw.merah, bw.putih, biji kemiri, cm jahe, cm terasi bakar, bauh jeruk sambal kecil, gula merah, garam, pucuk daun kemangi,","sambal ikan lele ikan lele , cabe merah keriting, cabe rawit, tomat ukuran sedang, bw.merah, bw.putih, biji kemiri, cm jahe, cm terasi bakar, bauh jeruk sambal kecil, gula merah, garam, pucuk daun kemangi,"
ikan cucut sambal pedas pake pete,"ikan cucut ukuran sedang, butir pete, butir bawang merah, butir bawang putih, butir tomat, daun salam, butir cabe keriting, butir cabet rawit , garampenyedap & gula putih secukup nya,","ikan cucut sambal pedas pake pete ikan cucut ukuran sedang, butir pete, butir bawang merah, butir bawang putih, butir tomat, daun salam, butir cabe keriting, butir cabet rawit , garampenyedap & gula putih secukup nya,"
nila goreng sambal matah,"fillet nila, jeruk lemon, kuning halus, ketumbar, merica, garam, daun jeruk, cabe rawit merah, cabe rawit hijau, bawang merah, minyak, kuning halus, siuang bawang merah, bawang putih, kunyit,","nila goreng sambal matah fillet nila, jeruk lemon, kuning halus, ketumbar, merica, garam, daun jeruk, cabe rawit merah, cabe rawit hijau, bawang merah, minyak, kuning halus, siuang bawang merah, bawang putih, kunyit,"
salmon (tetelan) teriyaki,"tetelan salmon mentah, jeruk lemon , jahe , jamur kuping , batang baby corn , paprika hijau , cabe rawit , kecap manis, saus tiram saori, saus teriyaki saori, bawang bombay , butir bawang putih , butir bawang merah , garam, lada putih, lada hitam, air, lengkuas , minyak goreng,","salmon (tetelan) teriyaki tetelan salmon mentah, jeruk lemon , jahe , jamur kuping , batang baby corn , paprika hijau , cabe rawit , kecap manis, saus tiram saori, saus teriyaki saori, bawang bombay , butir bawang putih , butir bawang merah , garam, lada putih, lada hitam, air, lengkuas , minyak goreng,"
dadar telor ikan tongkol,"ikan tongkol, butir telor, ikat daun bawang, garam,","dadar telor ikan tongkol ikan tongkol, butir telor, ikat daun bawang, garam,"
. lele goreng krenyes no amis,"lele sayat sisinya, jeruk nipis, minyak goreng lele, halus, bawang putih, bawang merah, cm kunyit, ketumbar bubuk, garam,",". lele goreng krenyes no amis lele sayat sisinya, jeruk nipis, minyak goreng lele, halus, bawang putih, bawang merah, cm kunyit, ketumbar bubuk, garam,"
pindang patin,"ikan patin, cabe rawit merah, cabe merah keriting, baput, bamer, sendok makan lada, kemiri, cengkeh, trasi , daun salam, daun jeruk, batang serai, tomat, sendok teh asam jawa, jahe , lengkuas, ikat kemangi, batang daun bawang, sendok kecap manis, gula merah, garam, penyedap rasa, sendok teh gula putih,","pindang patin ikan patin, cabe rawit merah, cabe merah keriting, baput, bamer, sendok makan lada, kemiri, cengkeh, trasi , daun salam, daun jeruk, batang serai, tomat, sendok teh asam jawa, jahe , lengkuas, ikat kemangi, batang daun bawang, sendok kecap manis, gula merah, garam, penyedap rasa, sendok teh gula putih,"
pepes aceh ikan tongkol,"anak ikan tongkol, btg serairajang halus, segenggam cabe rawit utuh utk taburan, tangkai daun temurui , segenggam belimbing wuluhpotong serong, lbr daun jerukrajang, sendok mkn bawang goreng, ygdihaluskan, cabe rawit , kunyit, genggam asam sunti, bawang merah, bawang putih, sendok jinten, penyedap ,","pepes aceh ikan tongkol anak ikan tongkol, btg serairajang halus, segenggam cabe rawit utuh utk taburan, tangkai daun temurui , segenggam belimbing wuluhpotong serong, lbr daun jerukrajang, sendok mkn bawang goreng, ygdihaluskan, cabe rawit , kunyit, genggam asam sunti, bawang merah, bawang putih, sendok jinten, penyedap ,"
tuna tepung siram saus,"ikan tuna, bawang bombai, bks tepung sebaguna, lbr daun salam, saus tomat, saus sambal, bawang merah, bawang putih, cabai keriting, sesuai selera lada bubuk, penyedap makanan, garam, gula, air,","tuna tepung siram saus ikan tuna, bawang bombai, bks tepung sebaguna, lbr daun salam, saus tomat, saus sambal, bawang merah, bawang putih, cabai keriting, sesuai selera lada bubuk, penyedap makanan, garam, gula, air,"
ikan dencis kuning cabe rawit,"ikan dencis, daun prei, garam, halus, bawang merah, bawang putih, kemiri , kunyit seujung , jahe saja, bumbu, cabe rawit, tomat potong dadu,","ikan dencis kuning cabe rawit ikan dencis, daun prei, garam, halus, bawang merah, bawang putih, kemiri , kunyit seujung , jahe saja, bumbu, cabe rawit, tomat potong dadu,"
bandeng keropok,"bandeng ukuran sedang, halus, ketumbar, bw putih, garam, air, minyak , sambal, cabe rawit, bw putih, terasi, jeruk nipis, kecap manis, cabe rawit halus,","bandeng keropok bandeng ukuran sedang, halus, ketumbar, bw putih, garam, air, minyak , sambal, cabe rawit, bw putih, terasi, jeruk nipis, kecap manis, cabe rawit halus,"
nila goreng sambal matah,"ikan nilaukuran sedang, bawang putih, kunyit, ketumbar halus, garam, minyak , sambal matah, bawang merah, biji cabe rawit aja, jeruk nipis, royco, minyak goreng panas,","nila goreng sambal matah ikan nilaukuran sedang, bawang putih, kunyit, ketumbar halus, garam, minyak , sambal matah, bawang merah, biji cabe rawit aja, jeruk nipis, royco, minyak goreng panas,"
sop ikan patin,"ikan patin, bawang merah, bawang putih, lada, jahe, kunyit, lengkuas, salam sereh, daun jeruk, daun bawang, daun sledri, tomat, wortel, garam, gulpas, bubuk kaldu, jeruk nipis,","sop ikan patin ikan patin, bawang merah, bawang putih, lada, jahe, kunyit, lengkuas, salam sereh, daun jeruk, daun bawang, daun sledri, tomat, wortel, garam, gulpas, bubuk kaldu, jeruk nipis,"
steak tenggiri perdana,"tenggiri fillet, bawang putih haluskan, jeruk nipis ambil airnya, minyak wijen, lada, garam, saos , bawang putih haluskan, bawang bombay , kecap ikan, kecap manis, saos tiram, minyak wijen,","steak tenggiri perdana tenggiri fillet, bawang putih haluskan, jeruk nipis ambil airnya, minyak wijen, lada, garam, saos , bawang putih haluskan, bawang bombay , kecap ikan, kecap manis, saos tiram, minyak wijen,"
otak otak ikan tengiri,"ikan tengiri, tepung terigu, tepung kanji, putih, bawang merah, batang daun bawang, shacet masako sapi, butir telur ayam,","otak otak ikan tengiri ikan tengiri, tepung terigu, tepung kanji, putih, bawang merah, batang daun bawang, shacet masako sapi, butir telur ayam,"
gulai ikan mas kacang,"ikan masbersihkan. jeruk nipis garam, kacang panjang, sachet santan instan, air, halus, bawang merah, bawang putih, kemiri, ketumbar, salamserehdaun jerukjahe gepreklaos geprek, minyak menumis, gula garam, tam , bawang merah utuh yg kecil, cabe rawit utuh, biji asam kandis,","gulai ikan mas kacang ikan masbersihkan. jeruk nipis garam, kacang panjang, sachet santan instan, air, halus, bawang merah, bawang putih, kemiri, ketumbar, salamserehdaun jerukjahe gepreklaos geprek, minyak menumis, gula garam, tam , bawang merah utuh yg kecil, cabe rawit utuh, biji asam kandis,"
pindang serani ikan patin,"ikan patin, jeruk nipis, bawang merahpotong tipis, bawang putihpotong tipis, jahebakargeprek, lengkuasbakargeprek, kunyitbakargeprek, batang seraigeprek, daun jeruk, daun salam, ikat daun kemangi, tomat merah, cabe rawit, airgaramgula,","pindang serani ikan patin ikan patin, jeruk nipis, bawang merahpotong tipis, bawang putihpotong tipis, jahebakargeprek, lengkuasbakargeprek, kunyitbakargeprek, batang seraigeprek, daun jeruk, daun salam, ikat daun kemangi, tomat merah, cabe rawit, airgaramgula,"
ikan tongkol kuning sunda,"ikan tongkolpotong sesuai selera, cabe merah, cabe rawit sesuai selera, kunyit, jahe, butir kemiri, bawang putih, bawng merah, batang sereh geprek, daun salam, tomat, uleg yaaaa,","ikan tongkol kuning sunda ikan tongkolpotong sesuai selera, cabe merah, cabe rawit sesuai selera, kunyit, jahe, butir kemiri, bawang putih, bawng merah, batang sereh geprek, daun salam, tomat, uleg yaaaa,"
gurame saos mangga,"gurame, jeruk nipis, saos tomat, saos tiram, cabe kriting haluskan, jahe, bawang bombay, wortel, mangga muda, gelas air, gula, garam, larutan maizena,","gurame saos mangga gurame, jeruk nipis, saos tomat, saos tiram, cabe kriting haluskan, jahe, bawang bombay, wortel, mangga muda, gelas air, gula, garam, larutan maizena,"
spageti tuna pedas,"fettucini spagetti, kaleng tuna, tomatbuang biji, cabe rawit , bawang bombay, bawang putih, garam, minyak goreng, air merebus, oregano italian herbs, merica bubuk,","spageti tuna pedas fettucini spagetti, kaleng tuna, tomatbuang biji, cabe rawit , bawang bombay, bawang putih, garam, minyak goreng, air merebus, oregano italian herbs, merica bubuk,"
ikan kembung goreng saus kecap pedas,"ikan kembung goreng, resep saus , bawang putih, cabe besar, cabe rawit potong , kecap manis, bubuk kaldu ayam sapi, kecap ikan, lada putih, minyak goreng, air putih,","ikan kembung goreng saus kecap pedas ikan kembung goreng, resep saus , bawang putih, cabe besar, cabe rawit potong , kecap manis, bubuk kaldu ayam sapi, kecap ikan, lada putih, minyak goreng, air putih,"
sup ikan mujaer,"ikan mujaer, jahe , royco ayam, merica bubuk, bawang bombay, minyak menumis, batang seledri , batang daun bawang , halus , bawang putih, garam, pala,","sup ikan mujaer ikan mujaer, jahe , royco ayam, merica bubuk, bawang bombay, minyak menumis, batang seledri , batang daun bawang , halus , bawang putih, garam, pala,"
tuna asam manis,"am tuna fillet, bawang putih cincang , bawang putih , bawang bombay , cabai merah , wortel , tomat besar, saus sambal, tepung , garam, merica, gula, kaldu ayam bubuk , tepung maizena , minyak menumis,","tuna asam manis am tuna fillet, bawang putih cincang , bawang putih , bawang bombay , cabai merah , wortel , tomat besar, saus sambal, tepung , garam, merica, gula, kaldu ayam bubuk , tepung maizena , minyak menumis,"
lele sambal kemangi delecious,"lele, daun kemangi, bawang merah, bawang putih cabe besar, cabe kecil, tomat, terasi, royco, garam,","lele sambal kemangi delecious lele, daun kemangi, bawang merah, bawang putih cabe besar, cabe kecil, tomat, terasi, royco, garam,"
cireng isi tongkol suwir pedas,"cireng, am tapioka kanji, am terigu, am santan bubuk, bawang putih parut, garam, air, isian, abon sapi ayam ,","cireng isi tongkol suwir pedas cireng, am tapioka kanji, am terigu, am santan bubuk, bawang putih parut, garam, air, isian, abon sapi ayam ,"
pepes kakap fillet,"kakap fillet, butir kelapa muda parut, bj cabe rawit merah setan, bj cabe keriting potong potong, bj bawang merah, bawang putih, butir kemiri, garam, gula pasir, sesuai selera penyedap rasa, daun salam, lengkuas tipis tipis, daun pisang mem ,","pepes kakap fillet kakap fillet, butir kelapa muda parut, bj cabe rawit merah setan, bj cabe keriting potong potong, bj bawang merah, bawang putih, butir kemiri, garam, gula pasir, sesuai selera penyedap rasa, daun salam, lengkuas tipis tipis, daun pisang mem ,"
bandeng acar,"bandeng kecil, bawang putih, bawang merah, batang cabe merah buang bijinya, jahe, kunyit, kemiri potong setengah, sendok teh ketumbar, laos, daun jeruk, daun salam, sendok teh garam, sendok teh gula, sachet masako ayam, wortel batang potong panjang, ketimun batang potong panjang, sendok makan cuka,","bandeng acar bandeng kecil, bawang putih, bawang merah, batang cabe merah buang bijinya, jahe, kunyit, kemiri potong setengah, sendok teh ketumbar, laos, daun jeruk, daun salam, sendok teh garam, sendok teh gula, sachet masako ayam, wortel batang potong panjang, ketimun batang potong panjang, sendok makan cuka,"
sarden homemade simple,"ikan sarden ukuran sedang, tomat ukuran sedang, btr bwg merah, bwg putih, saos sambal tomat, jeruk nipis, garamgula, secukup ny penyedap, tambahkan cabai pedas,","sarden homemade simple ikan sarden ukuran sedang, tomat ukuran sedang, btr bwg merah, bwg putih, saos sambal tomat, jeruk nipis, garamgula, secukup ny penyedap, tambahkan cabai pedas,"
lele goreng renyah,"lele, garam, cuka, minyak goreng, dihaluskan, bawang merah, bawang putih, ketumbar, cm kunyit,","lele goreng renyah lele, garam, cuka, minyak goreng, dihaluskan, bawang merah, bawang putih, ketumbar, cm kunyit,"
tim ikan kerapu,"ikan kerapu , jamur shitake , daun seledri, batang bawang pre serong, jeruk nipis, garam, , cabe merahbuang bijipotong serong, cm jahepotong lidi, bawang putihcincang, minyak wijen, kecap asin, kecap ikan, merica, pelengkap , bawang putih cincang, minyak wijen,","tim ikan kerapu ikan kerapu , jamur shitake , daun seledri, batang bawang pre serong, jeruk nipis, garam, , cabe merahbuang bijipotong serong, cm jahepotong lidi, bawang putihcincang, minyak wijen, kecap asin, kecap ikan, merica, pelengkap , bawang putih cincang, minyak wijen,"
pindang bandeng kecap,"bandeng sedang, bawang merah, bawang putih, cabe, jahe, lengkuas, kunyit , sereh, daun salam , daun jeruk, tomat sedang, royco ayam,","pindang bandeng kecap bandeng sedang, bawang merah, bawang putih, cabe, jahe, lengkuas, kunyit , sereh, daun salam , daun jeruk, tomat sedang, royco ayam,"
lele sambel kemangi terasi,"lele besar, tahu, kemangi ambil daunya, biji lombok rawit, tomat, garam, gula, secuil terasi, lalapan,","lele sambel kemangi terasi lele besar, tahu, kemangi ambil daunya, biji lombok rawit, tomat, garam, gula, secuil terasi, lalapan,"
spageti saus sarden balado keju,"spagethi, sarden balado kemasan, keju cheddar parut , bumbu, bawang putih , jahe parut, tomat , cabai merah , jeruk nipis ,","spageti saus sarden balado keju spagethi, sarden balado kemasan, keju cheddar parut , bumbu, bawang putih , jahe parut, tomat , cabai merah , jeruk nipis ,"
gurame asam manis seadanya,"gurame asap, butir cabe rawit, bawang merah, bawang putih, saos tomat, saos cabe, kecap manis, kecap ikan, gulagara adapenyedap, air,","gurame asam manis seadanya gurame asap, butir cabe rawit, bawang merah, bawang putih, saos tomat, saos cabe, kecap manis, kecap ikan, gulagara adapenyedap, air,"
ikan tenggiri pesmol segar,"am ikan tenggiri , cabai rawit, tomat, air perasan jeruk nipis, halus, bawang merah, bawang putih, batang kunyit, kemiri,","ikan tenggiri pesmol segar am ikan tenggiri , cabai rawit, tomat, air perasan jeruk nipis, halus, bawang merah, bawang putih, batang kunyit, kemiri,"
ikan tongkol kemangi,"ikan tongkol, cabe rawit merah hijau , kunyit, jahe, kemiri, bawang merah, bawang putih, ikat daun kemangi, batang serai, daun salam, garamgula penyedap,","ikan tongkol kemangi ikan tongkol, cabe rawit merah hijau , kunyit, jahe, kemiri, bawang merah, bawang putih, ikat daun kemangi, batang serai, daun salam, garamgula penyedap,"
ikan pesmol nila,"am ikan nila, bawang merah, bawang putih, tomat kecil, kemiri, ketumbah, kunyit, daun salam, tangkai sereh, cabe merah, batang bawang daun,","ikan pesmol nila am ikan nila, bawang merah, bawang putih, tomat kecil, kemiri, ketumbah, kunyit, daun salam, tangkai sereh, cabe merah, batang bawang daun,"
mangut lele (tanpa santan),"lele, lengkuas, batang sereh, lb daun salam, cabe rawit, halus, bawang merah, bawang putih, cabe merah, jahe, kunyit , butir kemiri , garamgulapenyedap , air,","mangut lele (tanpa santan) lele, lengkuas, batang sereh, lb daun salam, cabe rawit, halus, bawang merah, bawang putih, cabe merah, jahe, kunyit , butir kemiri , garamgulapenyedap , air,"
ikan tongkol kemangi kuah santan,"ikan tongkol pindang tongkol, terong , , ikat kemangi, lengkuas, daun salam, sachet santan instan, garam, gula, kunyit bubuk , , bawang putih, bawang merah , bawang bombai , tomat, cabai rawit utuh, cabai merah , cabai hijau ,","ikan tongkol kemangi kuah santan ikan tongkol pindang tongkol, terong , , ikat kemangi, lengkuas, daun salam, sachet santan instan, garam, gula, kunyit bubuk , , bawang putih, bawang merah , bawang bombai , tomat, cabai rawit utuh, cabai merah , cabai hijau ,"
ikan gurame sambel jeletot.... by. dapoer linggar,"ikan gurame potong , batang sereh geprek, daun jeruk, tomat potong kasar, terasi bakar haluskan, garam, gula pasir, blok kaldu, daun salam, minyak menumis, cabe rawit merah utuh, lengkuas geprek, , cabe rawit merah , bawang putih , bawang merah ,","ikan gurame sambel jeletot.... by. dapoer linggar ikan gurame potong , batang sereh geprek, daun jeruk, tomat potong kasar, terasi bakar haluskan, garam, gula pasir, blok kaldu, daun salam, minyak menumis, cabe rawit merah utuh, lengkuas geprek, , cabe rawit merah , bawang putih , bawang merah ,"
lele goreng gurih,"lele isi , minyak goreng, marinasi , bawang putih, ketumbar, kunyit, garam, air,","lele goreng gurih lele isi , minyak goreng, marinasi , bawang putih, ketumbar, kunyit, garam, air,"
nila pedas manis,"garam, biji cabe rawit, bawang putih, bawang merah, potong gula merah kelapa, terasi, biji tomat, ikan nila, kecap, air, daun salam, serai, daun jeruk, cm kunir,","nila pedas manis garam, biji cabe rawit, bawang putih, bawang merah, potong gula merah kelapa, terasi, biji tomat, ikan nila, kecap, air, daun salam, serai, daun jeruk, cm kunir,"
acar ikan nila,"ikan nila ukuran sedang, wortel, timun , bumbu, butir bawang merah, butir bawang putih, butir kemiri, jahe, kunyit, ketumbar, laos memarkan, daun salam, jeruk nipis, cabe merah belah , garam, gula, merica, air, minyak,","acar ikan nila ikan nila ukuran sedang, wortel, timun , bumbu, butir bawang merah, butir bawang putih, butir kemiri, jahe, kunyit, ketumbar, laos memarkan, daun salam, jeruk nipis, cabe merah belah , garam, gula, merica, air, minyak,"
pindang tongkol tomat,"pindang tongkol, tomatpotong"", btr bawang merahcincang kasar, bawang putihcincang kasar, cabe rawit mrh bulat, kecap manis, garamgulapenyedap pnya,","pindang tongkol tomat pindang tongkol, tomatpotong"", btr bawang merahcincang kasar, bawang putihcincang kasar, cabe rawit mrh bulat, kecap manis, garamgulapenyedap pnya,"
roti goreng isi tuna,"roti tawar, biji telor ayam , serbuk roti , isian , tuna kaleng, bawang putih , bawang merah , bowang bombai , rawit , lada & garam,","roti goreng isi tuna roti tawar, biji telor ayam , serbuk roti , isian , tuna kaleng, bawang putih , bawang merah , bowang bombai , rawit , lada & garam,"
