Title,Ingredients,Loves,User
ikan mas cabe ijo ala fe,"ikan mas sedang, sendok teh garam, jeruk nipis peras airnya, tempe potong , ulek halus , bawang merah tipis, bawang putih tipis, kencur, diulek , cabe hijau keriting serong, cabe rawit setan utuh, lengkuas geprek, daun salam, daun jeruk, sendok teh garam, sendok teh gula, sendok teh kaldu bubuk instant suka,",12,2122
pancake kimchi tuna,"cup terigu , cup tepung beras , cup kimchi, kaleng tuna, biji bawang bombay, garam, air, minyak ,",6,2123
ikan lele masak kuah,"ikan lele, jeruk nipis, minyak goreng, lumuran, ketumbar, kunyit, bawang putih, garam, , bawang merah, bawang putih, cabe rawit , tomat yg kecil, santan kelapa , kecap , gula ,",6,2124
sarden + sosis,"kaleng sarden kecil, sosis so nice ayam, bawang merah, bawang putih, cabe rawit merah, gula pasir, air, blue band,",1,2125
bawal pedas merah ala nani,"ikan bawal , tempepotong sesuai selera, , bawang putih, cm kunyit, garam, air, , bawang merah, bawang putih, cabe rawit sesuai selera, cabe merah besar, tomatpotong jd , garam, gula, cm lengkuas, daun jeruk purut, daun kemangi, santan kental, air panas,",2,2126
ikan tongkol segar kuah merah,"ikan tongkol segar, daun salam, sereh , jeruk nipis, daun jeruk, gula garam, bawang merah , bawang bombay , halus , bawang merah, bawang putih, tomat, butir kemiri, cm jahe, cabe merah, cabe rawit ,",25,2127
gule lele plus,"ikan lele, sachet gulai instan, santan kara kecil, tahu, papan tempe, genggam buncis, biji tomat,",2,2128
ikan kembung kuah santan,"ikan kembung , tomat merahpotong , daun jeruk, jeruk nipis, santan , daun salam, garam, gula, halus , cabe merah, bawang merah, bawang putih, kemiri, cm kunyit, cm jahe,",1,2129
sarden tomat,"kaleng ikan sarden bumbu, tomat, cabai paprika, bawang putih, sendok teh garam,",1,2130
ikan nila goreng praktis,"ikan nila, jeruk nipis lemon, garam, minyak ,",7,2131
mujair nyat nyat khas bali,"ikan mujair yg panggang, minyak goreng, jeruk nipis, cabe rawit, cabe merah besar, cm kunyit, cm kencur, tomat ukuran besar, bawang putih, bawang merah, terasi, kacang tanah goreng, lada bubuk, garam, gula pasir, air matang,",7,2132
gulai ikan gabus panggang,"ikan gabus, bawang putih, bawang merah, bawang bombay, kunyit, jahe, ketumbar, btr kemiri, seraidaun jeruk, sachet kara , garam, gula, penyedap, jeruk nipis, cabe, tomat,",3,2133
tongkol suwir,"ikan tongkol, cabai hijau , cabai keriting, bawang merah, bawang putih, tomat, minyak menumis, garam, penyedap rasa,",26,2134
tumis sarden telur ceplok ala fe,"kaleng sarden makarel besar, butir telur diceplok, bawang merah tipis, bawang putih tipis, cabe rawit merah serong, cabe hijau keriting serong, daun salam remas, lengkuas geprek, jahe geprek, sendok makan gula aren jawa , air,",13,2135
ikan nila kuah,"ikan nila, jeruk nipis, halus, bawang merah, bawang putih, kunyit , cabe merah , cabe rawit , jahe, butir kemiri , tam , lengkuas , batang sereh , daun salam, daun jeruk, tomat uk , garam, air, minyak goreng, penyedap ,",1,2136
iwak lundu betuup a.k.a tumis ikan keting #herinwidodo,"ikan lundu potong kepala, bawang putih, bawang merah, batang serai, cabe rawit, kunyit, cabe merah serong, cabe hijau serong, tomat potong , daun jeruk, minyak, air, garam, asam jawa biji,",2,2137
pindang tongkol kuah santan,"utama , ikan tongkol me beli yg matang, pelengkap , serai , daun salam, lengkuas , cabai hijau , bawang merah, butir kemiri, cabai merah keriting, cabai rawit merah sesuai selera..me suka pedas, garam , kaldu penyedap ayam , kunyit, santan kental , gelas air minum ,",11,2138
tuna kecap buncis terong goreng,"m tuna potong dadugoreng, terong ungu potong oreng, buncis potong panjanggoreng, tomat besar, cabe hijau, cabe merah, bawang merah, bawang putih, sendok makam kecap, garammericagula, daun salam, sendok makan minyak goreng,",1,2139
gurame kecap,"ikan gurame, tomat, bawang putih, bawang bombay, bawang merah, cm jahe keprek, batang serai, daun salam, merica, kecap manis, saus tiram, biji cabai rawit potong kecil, daun kemangi, gula, garam, air,",6,2140
kakap goreng asam saus bawang,"ikan kakap, bawang merah, bawang putih, bawang bombay, cabe gendot rawit , wortel, garam, gula, lada bubuk, penyedap rasa, saos sambal, tepung maizena, jeruk nipis,",7,2141
pindang tongkol goreng telur,"pack ikan pindang tongkol , butir telur, tepung terigu, lada bubuk, garam, minyak goreng,",27,2142
baso ikan tuna,"am ikan tuna filet, bawang putih, butir telor, tepung sagu, seujung soda kue, merica, bks royco ayam,",3,2143
gurame panggang teplon padang*,"ikan gurame , yg dihaluskan , bawang merah, bawang putih, kemiri, kunyit seukuran kelingking, jahe cm, cabe merah kriting, cabe rawit, butir merica, tam , lengkuas geprek, serai geprek, daun salam, daun jeruk, kara santan, sendok kecap, perasa , masako sapi, garam, gula,",4,2144
dory salted egg,"ikan, g ikan dori, butir telur , tepung maizena, saus, butir kuning telur asin, susu cair, mentega, bawang putih cincang, segenggam daun bawang, sejumput daun parseley, lbr daun kari, lada, garam, gula,",7,2145
tuna tongkol suwir pete,"tongkol ukuran , halus , bawang merah, bawang putih, cabe besar, cabe rawit , tomat ukuran sedang, terasigaramgula, pelengkap, ikat daun kemangi, pete ,",9,2146
sarden abc pedas,"kaleng sarden abc pedas, cabe rawit setan, cabe merah, bawang merah, bawang putih, tomat kecil, cm lengkuas, cm jahe, minyak menumis, air,",5,2147
ikan kembung mandi balado,"ikan kembung ukuran sedang, bawang merah, bawang putih, segenggam cabe rawit, tomat besar, segenggam cabe merah besar, garam, penyedap, minyak menumis, jeruk nipis, daun salam #saya skiplagi gak ada,",3,2148
ikan tongkol kemangi kuning,"ikan tongkol ukuran sedang, ikat kemangi, halus , bawang merah, bawang putih, cabe rawit hijau, kemiri, jahe, kelingking kunyit, tam , daun salam, sereh, cuka, rawit, air, gulagaram lada,",10,2149
ikan kembung kecap,"ikan kembung banjar, jeruk nipis, bawang putih, bawang merah, cabe merah keriting , cabe rawit hijau, lengkuas, daun salam, tomat, garam, gula pasir, gula jawa, kecap manis, air, minyak goreng,",4,2150
pecak ikan mujaer,"ikan mujaer ikan mas ikan gurame, jeruk nipis, daun kemangi, gulagaram, tomat ijo, daun jeruk, minyak goreng, halus, ons kacang tanah goreng, bawang merah, bawang putih, cabe merah kriting, cabe rawit merah, kencur,",7,2151
asam padeh ikan tongkol,"ikan tongkol, jeruk nipis, lb daun sereh, laos, asam kandis, batang kacang panjang, kentang, air, halus, cabe merah kriting, cabe rawit merah, bawang merah, bawang putih, kunyit, jahe, kemiri, garam, penyedap jamur,",9,2152
ikan mas goreng,"ikan mas, bawang putih, jahe, kunyit, ketumbar, garam, minyak ,",2,2153
ikan patin asam manis,"ikan patinpotong dadubuang tulangnya, tepung terigu, garam, lada bubuk, saus , sachet saos cabai, sachet saos tomat, butir bawang bombai, gelas air,",4,2154
brengkes baung tempoyak simpel,"baungpotong bagian, , tempoyak, cabe kriting giling, kunyit halus, btg seraipotong kecilmemarkan, garamgula pasir, kemangi, pem daun pisang & tusuk gigi,",8,2155
aglio olio udang tuna,"bawang bombay rajang kasar, bawang putih cincang kasar, cabe merah , rawit merah , udang bersihkan kupas, tuna kaleng original, dada ayam cincang haluskan, spaghetti laf*nte rebus dgn minyak aldente, perasa jamur + garam secukupny, olive oil menumis,",2,2156
ikan mujaer kuning,"ikan mujaer, biji cabe merah, biji cabe rawit merah, bawang merah & bawang putih masing, biji kemiri, santan kara kecil, penyedap pake magic lezat, kunyitjahelengkuasdaun salamsereh, garam & gula, jeruk nipis menghilangkan bau amis, minyak goreng,",7,2157
sambel tomat ikan nila,"ikan nila , cabe merah, cabe rawit, bawang merah, bawang putih, jaheserai, garam, gula merah, tomat, penyedap rasa,",4,2158
pindang patin,"ikan patin, ikat kacang panjang, kunyit, lengkuas, batang serai, cabai merah, tomat, bawang merah, bawang putih, kemiri, asam jawa, daun jeruk, daun salam, garam, penyedap rasa,",4,2159
ikan kembung bakar,"ikan kembung, cabe kriting merah, bawang merah, bawang putih, sereh, kunyit, jahe & lengkuas, garamgulapenyedap, santan instan,",7,2160
chili tuna corn puff,"kaleng chili tuna chunk , bawang putih, kulit puff pastry instan , jagung manis pipil, sachet bon cabe, telur rebus, garamgula merica, parsley , kuning telur olesan,",7,2161
gurame goreng tauco,"i ikan gurame, sendok tauco, sendok tepung maizena, , jahe, bawang merah, bawang putih, cabe merah keriting, cabe rawit, cabe hijau, tomat merah, tomat hijau,",4,2162
balado kembung terong pete,"ikan kembung , terong , papan pete, cabai rawit merah, bawang merah, bawang putih, tomat , minyak goreng, garam, penyedap rasa,",2,2163
ikan bakar kembung,"ikan kembung, air perasan jeruk nipis..garam marinasi ikan nya ya., bawang merah, bawang putih, cabe merah aja y mam..klu biji., butir kemiri, jahe se, kunyit ,",8,2164
nila bakar,"ikan nila, bawang putih, garam, minyak goreng, bakar, tumbar, cabai merah keriting, bawang putih, bawang merah, garam, daun jeruk, air asam jawa, gula merah, kecap, gelas air,",3,2165
sarden abc ceplok telor ekstra pedas,"kaleng sarden abc ekstra pedas, telur bebek, kol sobek kecil, batang daun bawang, st garam, st gula putih, penyedap rasa, , bawang merah, bawang putih, bawang bombay, cabe ijo keriting , cabe setan ,",4,2166
asam manis pedas ikan asin tenggiri,"ikan asin tenggiri, bawang merah, bawang putih, cabe merah besar, sesuai selera cabe rawit, air asam jawa, gula merah, gula pasir garam,",2,2167
mangut ndas manyung,"kepala manyung, kelapa parut yg diambil santannya, bawang putih, bawang merah, cm kencur, cm jahe, cm lengkuas, lbr daun salam, lbr daun jeruk, kunyit, cabe merah kriting , genggam cabe rawit setan, kemiri, merica, garam, gula,",2,2168
lele mandi kecap,"potong lele goreng, kotak tahupotong , bawang merah, bawang putih, kecap, cabe rawit, bawang bombai tipis, air,",4,2169
sup ikan gurame,"ikan gurame, , bawang merah , bawang putih , jahe , tomat hijau , asam jawa , sendok teh kecap ikan, ikat kemangi,",35,2170
pempek adaan ikan tuna,"am ikan tuna giling, am sagu tapioka, bks santan kara, btr telur ayam, garam , gula , bawang merah, btg daun bawang, merica ,",2,2171
bandeng asem kuning,"bandeng segar, asam jawa, daun jeruk, halus, bawang merah, bawang putih, kemiri, kunyit, ketumbar, lengkuas geprek, cabe rawit , garam penyedap,",3,2172
omelete tuna ala bunda jkb,"telur ayam size jumbo, tuna kaleng , kol tipis genggam, bawang daun batang, garam, bawang putih bubuk, merica bubuk, baking powder double action, terigu, sausnya , saus tomat, gula, garam, air, maizena cair, bawang bombay, bawang putih,",7,2173
lempah kuning ikan darat bangka,"ikan gabus, ikan baung, ikan lele, nanas, bumbu, lengkuas, kunyit, kencur, cabe rawit, bawang putih, bawang merah, butir lada, belacan, garam,",6,2174
tongkol mini sambal ijo,"tongkol kecil, halus, bawang merah, bawang putih, cabe ijo besar, tomat ijo,",8,2175
pindang ikan patin cabai rawit,"ikat patin, kacang panjang, ulek, cabai rawit, bawang merah, bawang putih, kemiri, jahe, kunyit, lengkuas , daun salam, asem jawa,",6,2176
cakalang suwir,"ikan cakalang tongkol yg diasap bakarsuwir , halus, bawang merah, bawang putih, jahe, cabe rawit campur cabe keriting , penyedap gula,",1,2177
telur ikan kakap kecap simple,"telur ikan kakap, cabe merah, cabe jablay, jeruk nipis, garam, penyedap rasa, kecap, bawang merah, bawang putih,",6,2178
nila bakar pedas manis,"ikan nila segar, btr gula merah, ketumbar, btr kemiri, bawang putih, bawang merah, cabai merah, garam, sachet kecap manis, penyedap rasa, perasan air jeruk, air,",4,2179
sop salmon,"salmon fillet, putih, bawang putih cincang, bawang merah cincang, bawang bombay cincang, garam gula, cm jahe ,",3,2180
pepes ikan kembung mantapp,"ikan kembung, papan petai, daun pisang mem ikannya, biji tusuk gigi, minyak goreng, daun salam, daun jeruk lemo, jeruk nipis, #bumbu haluskan , bawang merah, bawang putih, laos lengkuas, kunyit kuning pekat, gula merah, jahe, btg sere, terasi udang, biji kemiri, cabe rawit , cabe kriting, asam jawa,",3,2181
kembung kuah asam,"ikan kembung, lemon, garam, daun salam, batang sereh, ikat kemangi, lada bubuk, kaldu bubuk, penyedap rasa, air asam jawa, gelas air, , bawang merah, bawang putih, cabe merah keriting, cabe rawit merah, jahe, kemiri,",4,2182
bandeng kecap,"bandeng besar, daun salam, lengkuas geprek, bawang goreng, bks ladaku yg , penyedap, kecap, gula putih, air, # yg dihaluskan, butir kemiri, bawang putih, garam,",21,2183
lele bakar kecap,"lele , instan ikan goreng, bawang putih, lada bubuk, gula merah, kecap manis , minyak goreng, air cuka,",9,2184
ikan laut jamur tiram kuah tomyam,"potong ikan lautboleh ikan aja tergantung selera, ons jamurdibanyakin boleh, bawang merah, bawang putih, daun jeruk, batang serai, cabe merahbuang bijinya ga kuat pedas, tomat belah , daun salam, jahe, kunyit, garam sesuai selera, penyedap rasa, gula, gelas air, margarin, cuka makan,",8,2185
fettuccini hot spicy tuna,"fettuccini, bawang putihcincang, bawang bombay , cabai merah tipis, cabai hijau tipis, potong tuna asaprendam air hangatpotong sesuai selera, saus sambal extra hot, saus tiram, garam & gula, minyak goreng, air merebus,",6,2186
sup kemangi ikan patin,"potong ikan patin segar, ikat daun kemangi, bawang merah, bawang putih, cabe ijo, tomat ijo, daun bawang, serai, daun jeruk, daun salam, cm laos, masako sapi, garam, minyak goreng, air,",6,2187
patin kuah asam,"ikan patinukuran sedang, timun kraipotong, kubis secukupnyapotong , asam, tomat hijau, jeruk nipis, garam, gula, penyedap rasa, . liter air, halus, biji cabe rawitbisa ditambah suka pedas, kunyit, jahe, lengkuas, bawang merah, bawang putih, ketumbar, butir kemiri, jinten,",9,2188
sarden tongkol praktis,"ikan tongkol , sereh, daun salam, jahe , bawang merah, bawang putih, bawang bombay , cabe rawit , cabe keriting, tomat kecil, garam, sendok gula putih, royco ,",4,2189
balado ikan kembung,"ikan kembung, cabe merah, bawang merah, bawang putih, tomat , garam, gula, suka penyedap, jeruk nipis, minyak goreng,",5,2190
gulai ikan nila,"ikan nila, santan klapa kara, wortel, bumbu, bawang merah, bawang putih, ketumbar, jahe, kunyit, kemiri, lengkuas, serai, daun jeruk, daun salam,",4,2191
ikan tongkol sambalado #,"ikan tongkol, halus , bawang putih, bawang merah, keriting merah sesuaikan, rawit sesuaikan, tomat, kunyit , pelengkap , air, garam, gula jawa pasir, daun jeruk, penyedap rasa,",2,2192
tongkol anat,"ikan tongkol ukuran sedangkukussuir , tomat , cabai merah , cabai rawit merah , cabai rawit hijau, bawang putih, bawang merah , daun jeruksobek , saos tiram, royco, gula pasir, garam, air, minyak utk menumis,",6,2193
ikan tongkol kuning,"bngkus pindang tongkol, tahu, santan kara, halus, kemori, bawang putih, bawang merah, cabe rawit, kunyitserehlaosdaun salam, ketumbar&lada, secukup ny airroycogulaminyak goreng,",8,2194
tongkol goreng sambal mentah,"pindang tongkol ukuran sedangbersihkan kulitnya, bawang putihhaluskan, sambal mentah, bawang merah tipis, cabai rawit sesuai selera tipis, tomat buang isinya potong dadu, an jeruk lemon, sejumput garam, sambal kecap , kecap manis, sesuai selera cabai rawit dipotong serong,",18,2195
tongkol suwir kemangi,"pindang ikan tongkol , ikat kemangi seribuan , bawang merah , bawang putih , cabe rawit merah sesuai selera , cabe merah , tomat , garam, gula, minyak goreng menumis,",10,2196
ikan tuna fillet goreng tepung x rempah,"ikan tuna ukuran sedang, tepung terigu, minyak goreng, jeruk nipis, yg dihaluskan , bawang putih, bawang merah, ketumbar, merica , sendok teh garam, kunyit,",4,2197
ikan bandeng acar,"ikan bandeng, timun ukuran sedang, batang wortel lokal, halus , bawang merah, bawang putih, butir kemiri, jahe, kunyit, lada butir, daun salamsobek, batang serehgeprek, langkuasgeprek, blimbing wuluh, garam, gula merah,",4,2198
ikan tongkol pindang rica rica daun jeruk,"ikan tongkol pindang, i ons cabe kecil, biji cabe besar, tomat, butir bawang putih, butir bawang putih, jahe, secukupnnya daun jeruk,",7,2199
perkedel tongkol pedas,"tongkol, butir telur, cabe rawit, garammicin,",5,2200
mujahir sambel pepecak,"ikan mujahir, racik ikan goreng, sambal, segenggam cabe , jahedi geprek, bawang merah, jeruk limau, garampenyedap air panas,",6,2201
"sempol ""kece"" tenggiri","tenggiridiletakkanblender, terigu , kanji tapioka, butir telurkocok, batang daun bawang belah tipis, tusuk satepotong ,",1,2202
tuna goreng krispy menu y+,"ikan tuna fillet , terigu, tepung beras, butir telur, ketumbar bubuk, garam, sejumput merica halus, minyak ,",8,2203
suwir tongkol kemangi,"ikan tongkol kukus, tepung terigu, garam, kemangi, minyak goreng menumis,",6,2204
gulai ikan nila tempoyak,"ikan nila, ons cabe merah + rawit, daun kunyit, kunyit giling, tempoyak ons sesuai selera, air, garam gula,",6,2205
ikan mujaer rujak hot,"ikan mujaer, daun pisang mm , jeruk nipis menghilangkan bau amis, lmbr daun salam, ulek kasar, tomat, cabe merah besar, rawit merah, bon cabe level , garam, penyedap rasa,",5,2206
acar ikan tongkol,"ikan tongkol, bawang bombay, perasan jeruk nipis, tomat, serai, daun salam, daun jeruk, cabai hijau utuh, minyak goreng, air, bumbu, bawang merah, bawang putih, kunyit, lada, kemiri, garam gula pasir,",7,2207
oseng ikan asin klotok,"ikan asin klotoksuwir , tomat , bawang merah , bawang putih , cabe rawit , kecap manis, gula pasir, garam,",9,2208
gurame asam manis,"gurame ukuran *filetkepala & badan dibuang, jeruk nipis, nanas *potong kecil, ketimun *potong panjang, bawang putih *haluskan, bawang merah *haluskan, bawang bombai * tipis, tomat *boleh skip, saos tomat, saos sambal, kecap manis, saos tiram, kecap asin, garamgula & lada bubuk, air, minyak utk menumis, tepung terigu, tepung tapioka,",7,2209
ikan nila goreng balado,"ikan nila, ons cabe merah keriting, bawang merah, bawang putih, jahe, jeruk nipis, garamgula, minyak goreng,",5,2210
ikan pari panggang,"ikan paribersihkanpotong kucuri air jeruk nipis, santan kental, lbr daun kunyitsimpulkan, lbr daun salam, batang serehgeprek, potong asam kandis, minyak utk menumis, garam merica bubuk, halus, cabe merah, bawang merah, bawang putih, butir kemiri yg digoreng, ketumbar, kunyit, jahe, lengkuas muda,",7,2211
ikan nila siram tauco,"ikan nila, cabe hijau, bawang putih, bawang merah, tomat , bngkus tauco mikado, garamgula,",6,2212
tongkol asam padeh,"potong ikan tongkol, am cabe keriting, cabe rawit merah, bawang merah, bawang putih, tomat, jahe, lengkuas, daun salam, daun jeruk, batah sereh, asam kandis , penyedap , garam, air,",8,2213
pepes ikan mas,"ikan mas ukuran , butir jeruk nipis, garam, btng serehpotong ngeprek, daun salam, ikat daun kemangi, tomat besarpotong potong, cabe keriting serong , daun pisang tusuk gigi, halus, bawang putih, bawang merah, kunyit, kemiri, cm jahe, garam,",7,2214
bawal asam manis,"bawal air tawar, halus , cm jahe, kencur, cm kunyit, bawang putih, bawang merah, cabai merah keriting, daun jeruk, batang serai memarkan, daun salam, asam jawa, gula putih, tomat ceri , air, garampenyedap,",0,2215
bandeng pindang,"bandeng potong jd bagian, bawang merah tipis, bawang putih tipis, cabe rawit, asam jawa, daun bawang potong , garam, air putih,",1,2216
oseng cucut cabe gendot,"asin cucut rendam dgn air panas sebentar, cabe gendot potong sesuai selera, tomat potong , bawang merah halus, bawang putih halus, lbr daun salam, laos, gula merah, garamkaldu jamur, air matang,",11,2217
tuna pindang koyong,"ikan tuna, bawang putih, bawang merah, kunyit, jahe, lengkuas, batang sereh, daun jeruk, biji cabai rawit, biji cabai merah besar, tomat, merica bubuk, gula, garam, penyedap rasa, liter air bersih,",6,2218
bandeng masak pindang serani,"bandeng, papan daun bawang, air, minyak menumis bumbu, dihaluskan, merica, butir kemiri, cm kunyit, garam, yg , bawang putih, bawang merah, cabe sesuai selera, lain, cm jahe geprek, batang serai geprek, gula pasir,",29,2219
ikan nila saus asam manis,"ikan nila, garammericaketumbar bubuk, jeruk nipis, tepung terigu, tepung maizena, saus asam manis, bawang bombay, wortel kecilpotong korek api, biji cabe rawit, cabe merah, gula garam merica, tepung maizena , saus tomat, tomat potong dadu,",10,2220
balado mujair terong,"mujair, tahu, terong, halus , cabai merah, bawang merah, bawang putih, tomat, daun jeruk, serai, masako, garam, gula, minyak goreng menumis, air,",7,2221
suwir tongkol sambel bawang,"biji tongkol kupas, , bawang merah, bawang putih, cabe keriting, tomat, garam gula,",7,2222
ikan tongkol merah,"ikan tongkol, bumbu, bawang merah, bawang putih, sesuai selera cabai, gula garam, kecap manis, air,",1,2223
ikan kembung masak santan,"ikan kembung potong bbrpa bagian, cabai hijau , cabai merah , bawang putih , bawang merah , baby corn , daun bawang , tomat hijau , daun salam, lengkuas geprek, jahe geprek, garam, gula, lada, santan kara, royco sapi , air bersih,",1,2224
pindang presto,"ikan mas, gandu gula merah, kaldu bubuk , daun salam, bawang merah, tomat, lengkuas, batang sereh, gula pasir, kecap manis, air,",0,2225
kembung sambal tomat saus tiram,"ikan kembung uk.sedang , tomat uk.sedang, bawang bombai uk.sedang, bawang merah, bawang putih, cabe rawit, saus tiram, minyak goreng, garam & gula,",1,2226
gulai kepala kakap,"kepala kakap susah , bumbu, biji cabe hijau biji cabe merah, bawang putih, bawang merah, butir kemiri, jahe, kunyit, daun sereh, daun salam, kotak santan instan, garam, gula putih, gula merah, minyak goreng,",1,2227
ikan kembung sambal balado kemangi,"ikan kembung, bawang merah, bawang putih, cabai merah keriting, cabai rawit oren, tomat, gula pasir, garam, penyedap , air, daun kemangi, daun jeruk,",6,2228
sup ikan salmon,"ons ikan salmon fillet, jamur putih , wortel, kentang, daun bawang seledri, bawang bombay, merica, garam, kaldu, bawang putih,",0,2229
kotok ikan nila,"ikan nila, santan kental kanil, bawang merah, bawang putih, cabe rawit, garam, kencur, tomat ,",0,2230
ikan krisi bali bali,"am ikan krisi bali, butir cabe rawit merah , bawang merah, bawang putih, butir kemiri, cm jahe, cm lengkuas, cm kunyit, batang serai, daun salam, lingkaran gula merah kerek, gula pasir, garam, penyedap , air ,",18,2231
sarden mix kentang,"sarden uk.kecil, kentang kecil, cabe rawit, bawang merah,",6,2232
gulai ikan lele,"ikan lele, air jeruk nipis, garam, daun salam daun jeruk nipis, batang serai tipis, jahe tipis, lengkuas tipis, tomat dipotong kecil, liter air, halus, butir bawang merah, bawang putih, butir kemiri san ia, kunyitbakar, garam,",4,2233
mujair pedas manis,"ikan mujair besar, bawang bombay, bawang putih cacah, cabe rawit merah, saus sambel, saus tomat, lbr daun jeruk,",9,2234
gulai ikan kakap ala,"ikan kakap, cabe rawit merah, tomat merah, lbr daun salam, laos keprek, lbr daun jeruk wangi, serai keprek, yg dihlskan , bawang putih, bawang merah, kemiri san ai, cabai merah asam kandis, kunyit, jahe, ketumbar halus, mricagaramgularoyko, bks santan karaair,",7,2235
sarden kaleng nenek,"kaleng sarden, butir bawang merah tipis, bawang putih tipis, cabe rawit tipis, garamgula, air, minyak goreng,",0,2236
nugget ikan salmon sayuran keju,"salmon fillet, bonggol jagung disisir, wortel diparut, kuntum brokoli , blok keju cheddar diparut, butir telur, butir bawang merah, bawang putih, tangkai daun bawang, tepung maizena, tepung sagu tani, garam gula, lada bubuk , kaldu jamur , gelas air es, pencelup , terigu, air matang, ketumbar bubuk, garam, tepung roti,",5,2237
tuna spaghetti,"spaghetti, kaleng tuna , tomat, pasta tomat, paprika, bawang bombay, bawang putih, mix spicy , garammericacabai bubuk, minyak menumis bumbu,",25,2238
puff pastry isi tuna simple cepat,"puff pastry instant buatan sendiri, kaleng tuna , butir telur rebus , mayonaise, bawang bombay , bawang putih , butir kuning telur olesan, butir putih telur perekat, garamgulalada,",3,2239
lele saos asam manis,"ikan lele gabus bisa, am terigu, jeruk nipis, bawang merah , bawang putih , papan pete pake, ons bawang bombay , tepung maizena, merica bubuk, gula, garam,",2,2240
tongkol rujak kemangi,"tongkol bumbu, tongkol, jahe, kunyit, biji kemiri, air perasan jeruk nipis, garam, sambal, biji cabe keriting, biji cabe rawit, biji kemiri, biji bawang putih, biji bawang merah, air asam jawa, gula merah, lmbr daun jeruk, lmbr daun salam, tomat, kaldu kering, daun kemangi,",8,2241
nila acar kuning,"potong ikan nila, timun ukuran , jeruk, garam kasar, cabe rawit , cabe merah, daun bawang, batang sereh, daun salam, daun jeruk, halus , bawang merah, bawang putih, cabe rawit, sendok teh kemiri halus, sendok teh kunyit halus , sendok teh jahe halus , merica, garam halus, penyedap rasa,",36,2242
gurame saos wijen superior,"ikan gurame, gara ada. jeruk nipis, minyak utk goreng, batang sayur bakcoy, daun ketumbar, roasted sesame kewpie salad dressing, kecap tim ikan lee kum kie, bubuk cabe kasar, air,",7,2243
balado ikan pari tawar,"ikan pari tawar , baw.merah, baw.putih, cabai merah, daun jeruk, garam royco, gula pasir,",8,2244
ikan nila n tempe bakar pedas manis,"ikan nila ukuran sedang, papan tempe, ketumbar, cm kunyit, bawang putih, bawang merah, cabe , cabe , butir kemiri , garam gula, kecap manis, sambal tomat, tomat sedang, bawang putih, bawang merah, sesuai selera cabe, terasi, garam gula,",8,2245
vegetable etti with tuna saos mayo,"labu siam rebus, wortel kecil, kelopak kol , saos tuna;, tunacincang kecil, tomat kecilhaluskan, bawang putih haluskan, cabe merahhaluskan, sendok makan saos tomat, mericagarambasilmayonaise, sendok makan minyak, bawang merah cincang, helai daun seledri,",7,2246
sop nila seger ger ger,"nila ukuran dipotong siram perasan jeruk nipis, bawang bombay , bawang putih geprek tipis , jahe geprek, batang serai geprek, wortel potong , kentang potong , kol potong , batang daun bawang tipis , batang daun seledri tipis , lada bubuk, gula garam, mentega cair menumis,",26,2247
pecel lele #keto #ketofy #ketopad,"potong lele , rendaman , jeruk lemon, garam krosok, lele , kunyit, lengkuas muda, ketumbar, garam krosok, sambel pecel , cabe merah kriting, cabe rawit, bawang merah, bawang putih, kemiri san ai, cm persegi terasi bakar, garam krosok, kecap gula jawa tropicana, minyak kelapa,",2,2248
sambal tongkol balado trasi,"besek tongkol, trasi udang, tomat, cabe cabe rawit, bawang merah, bawang putih, batang daun pree, kentang dadu, garam, gula, royco ayam, air, saos tomat,",3,2249
telur gulung ikan kembung,"ikan kembung, daun salam , butir telur yampung, tsp terigu gluten free, centong nasi lembek, wortel , jagung manis , , btr bawang putih & bawang merah, bombay bubuk, pala bubuk, seasalt, alumunium foil, evco,",1,2250
ikan gabus goreng crispy,"sesuai selera ikan gabus, tepung crispy, ketumbar, kunyit, jahe, daun jeruk, air es, minyak goreng,",6,2251
asem asem bandeng,"bandeng, biji tahu, belimbing wuluh, tomat, biji cabe, jeruk nipis, jahe geprek, daun bawang, garam, gula, a , bawang merah, bawang putih, kunyit, b , bawang merah, bawang putih, kunyit,",31,2252
onigiri tuna mayo,"centong nasi panas , cuka sushi, nori flakes, kaleng tuna minyakt kan, mayonaise, nori an,",0,2253
ikan tuna acar kuning,"ikan tuna , minyak goreng, garam, gula, penyedap non msg , daun salam, batang serai, tetes cuka, air, cabe rawit, cabe merah keriting dibelah tengah, bawang merah, halus, cm lengkuas, jahe, cm kunyit, bawang merah, bawang putih, cabeh merah, kemiri, merica,",11,2254
pindang patin,"patin , tomat, ikat kemangi, daun bawang, sesuai selera cabe rawit merah, batang serai , laos , daun salam, daun jeruk, asam jawa, halus , bawang merah, bawang putih, butir kemiri, cm jahe, cm kunyit, garam gula,",28,2255
sup woku bawal,"ikan bawal ukuran besar, tomat, sereh , daun bawang , daun kemangi, bawang putih, bawang merah, kunyit, jahe, lengkuas , kemiri, cabe rawit setan , garam, lada, kaldu jamur, gula merah, minyak goreng, air,",9,2256
