Title,Ingredients,Loves,User
nugget ayam wortel,"am daging ayam giling, wortel ukuran sedang, bawang bombay, bawang putih, batang daun bawang, butir telur ayam, am tepung terigu , tepung roti, garam, lada, penyedap ayam, minyak goreng,",4,28
ayam goreng pedas gila ala kfc,"ayam, tepung uk g yg pedas , air es, minyak goreng,",2,29
chicken teriyaki,"daging ayam memanjang, bawang bombay memanjang, gula, garan, air, minyak menumis, perendam , saus teriyaki, saus tiram, kecap manis, minyak wijen, bawang putihhaluskan, cm jahehaluskan, merica, kaldu bubuk,",1,30
ayam kecap pedas jeruk limao,"ayam potong , lbr daun salam, jahe geprek, lbr daun jerukbuang tulangnya, jeruk limao, air perasn jeruk nipis, garammericagula pasirkaldu bubuk, kecap manis, air, bawang bombay , halus , bawang putih, bawang merah, cabe keriting merah, cabe rawit merah,",46,31
resep ayam kecap rumahan,"ayam, yg haluskan , bawang putih, bawang merah, sesuai selera cabe rawit cabe merah besar, cm jahe, lada pala, lengkuas jempol kaki, biji kemiri,",0,32
sop ayam garang asam,"ayam, serai, cm jahe, cabe rawit merah, bawang putih, bawang merah, tomat hijau, jeruk nipis , daun jeruk, daun bawang, garam, penyedap, air matang,",2,33
ayam goreng krutuk,"tepung terigu, air matang, ayam , garam, gula penyedap, lada bubuk, butir telur ayam, minyak goreng,",4,34
ayam panggang saos kecap,"ayam panggang ;, ayam potong sesuai selera, bawang merahulek halus, bawang putihulek halus, kunyitdan garamulek halus, olesan ayam ;, kecap manissaus tomatsedikit minyakdicampur, saos kecap cocolan ;, sesuai selera kecap manis, bawang merah melintang tebal, bawang putihulek halus, cabe rawitulek halus, tomat potong sesuai selera, jeruk nipis , arang memanggang ayam,",0,35
soto ayam kuah santan,"ayam , santan kara, cm kunyit, cm jahe, lada, daun sala engkuasdaun jeruk sereh, bawang merah, bawang putih, penyedap gulagaram royko ayam, pelengkap, tomat, daun bawang seledri, bihun , bawang goreng, kol potong tipis, goreng, kerupuk, bawang goreng, jeruk nipis, sambal ,",3,36
ayam goreng kuning,"potong ayam, air, minyak goreng, halus , bawang putih, kunyit, jahe, ketumbar, garam,",15,37
mie geprek,"mie burung dara, ons dada ayam, tepung terigu, kubis, bawang putih, kecap, royco sapi, garam, ebi, minyak wijen, saus tiram, lada bubuk, minyak goreng, air, cabe rawit, bawang merah,",2,38
seblak mie tulang ayam,"mie burung dara, tulang ayam sisa filet , sawi hijau, sawi putih, garam, gula, halus , bawang merah, bawang putih, cabe keritinh, cabe rawit , kencur,",0,39
sweet buffalo chicken,"utama, paha ayam , pelapis ayam , garam, lada hitam bubuk, paprika bubuk, tepung terigu, saus, margarin unsalted, bawang putih bubuk, gula merah bubuk, saus tomat, saus sambal, garam, wijen,",0,40
ayam garang asem,"ayam, daun pisang, santan kara kecil, jeruk nipis, rajang, cabai rawit, cabai merah, tomat hijau kecil, bawang merah, bawanh putih, tam , laos, jahe, daun jeruk, daun salam, batang serai, garam gulpas air minyak goreng,",3,41
ayam geprek,"fillet dada ayam khas dalam, tepung kriuk, baham sambal, rawit merah, cabai merah keriting, bawang putih, garam, kaldu jamur,",1,42
ayam asam manis rumahan citarasa resto,", am dada ayampotong dadu, paprika merah hijau, nanaspotong dadu, bawang bombay, bawang putihgeprek, minyak bawang utk menumis, air tepung saguperbandingan , saos asam manis, saos tomat, saos sambal, saos lea perrins, gula pasir, kaldu ayam, garam, kecap ing is, minyak wijen, maggie seasoning, saos raja rasa, marinasi ayam, gula pasir, garam, kaldu ayam, merica,",6,43
ayam goreng tepung simple,"am ayam dada potong , bawang putih haluskan, lada bubuk, kaldu bubuk, garam, butir telur, tepung pelapis , am tepung terigu, am tepung meizena,",7,44
sop balungan ayam,"tulang ayam joworebus dg api kecil, ulek , bawang putih, merica bubuk, pala bubuk, cengkeh, garam, kaldu jamur, gula, sayur , wortel tipis, kentang ukuran kecilpotong dadu, bonggol sawi sendok, seledri daun bawang, pelengkap bawang merah goreng,",2,45
ayam goreng lepas tulang lembut,"ayam, bawang putih, laos, jahe, daun salamserai daun jeruk,",3,46
sayap goreng ngo hiang,"sayap ayam drum stick, air jeruk nipis lemon, garam, ngo hiang, tetes suclarose stevia drop ,",35,47
semur ayam kampung,"ayam kampung, bawang putih, bawang merah, butir kemiri, jahe, daun jeruk, daun salam, batang serai , lengkuas, kunyit bubuk, ketumbar bubuk, merica bubuk, garam, gula pasir, royco, kecap manis, air kaldu ayam kampung, minyak goreng,",4,48
ayam tepung kfc super gurih,"potong ayam , air lemon, black papper, garam, pelapis , tepung terigu serba guna, tepung maizena, oregano, garam, masako ayam, bubuk cabai, pencelup , tepung terigu, bubuk cabai, garam, lada putih, air es,",0,49
soto ayam surabaya,"ayam, bawang merah, bawang putih, ketumbar, lada, kunyit, lengkuas, jahe, butir kemiri, daun salam, daun jeruk, gula, garam, penyedap , daun bawang, kol, tauge, kentang, telur rebus, sambal rebus,",4,50
ayam suwir ala bali ayam sisit,"am fillet ayam kulit, minyak wijen, kecap ikan, saos tiram, unsalted butter menumis, dihaluskan, bawang merah, bawang putih, kencur, kunyit, rawit merah sesuai selera, udang rebon, garam,",4,51
risoles rogut ayam,"isian, kentangkukus tumbuk halus, worteldiserut kasar, dada ayam rebussuwir halus, tepung terigu, lada bubuk, garam, susu cair, bawang putihhaluskan, am keju cheddar parut, minyak goreng, kulit, am tepung terigu, margarinedicairkan, butir telur, garam, air, am tepung panir membalur,",7,52
ayam masak kicap ala malay,"potong ayam, bawang bombay, cabai keriting merah, cabai rawit, cabai lalap, tomato, kecap, saos sambal, saos tiram, kunyit bubuk, garam, kaldu bubuk totole ,",7,53
ayam tepung,"ayam, am tepung terigu, royco, bawang putih, sendok teh lada bubuk, jahe, kunyit, garam, minyak goreng, butir telur ayam ambil putih nya aja,",1,54
ayam goreng bakar kecap,"ayam, minyak , kuning halus, bawang putih, cm kunyit , cm lengkuas, ketumbar, merica, air, garam kaldu bubuk, bakar, kecap, mentega, sambel, bawang merah, bawang putih, cabe hijau besar, cabe rawit, tomat hijau, garam gula,",67,55
somay ayam kacang,"dada ayam, kulit lumpia instan, terigu, kanji, bawang putih, merica bubuk, sachet royco, kacang, kacang, gula merah, royco, gula pasir, cabe, larutan maizena, kecap, pelengkap ;, gubis, telur puyuh, putih,",4,56
.ayam kecap cabe ijo,"ayam potong bersihkan, cabe ijo potong serong, bawang bombay potong, bawang putih cincang, garam, gula pasir, lada bubuk, kaldu bubuk , kecap manis , ungkep , bawang merah, bawang putih, cm kunyit, cm jahe, cm lengkuasgeprek, batang serai, ketumbar, kemiri, lbr daun jeruk, garam,",9,57
ayam masak kluwek,"kluwek, ayam paha, sayap ayam, kemiri, cabe merah , bawang merah, bawang putih, cm jahe, keping asam kering, bubuk kunyit, garamgulapenyedap rasa, air,",0,58
ayam goreng telur,"potong paha ayam, bawang putih, daun jeruk, daun salam, batang serai, sendok teh garam, sendok teh ketumbar bubuk, cm kunyit, butir telur ayam, air,",17,59
ayam goreng pemalas,"ayam, bks ayam goreng sajiku, lengkuas parut, makan minyak goreng, air matang,",6,60
nuttget ayam+sayur,"butir telur, ayam, wortel, tepung trigu, tapioka, bawang putih, bawang merah, daun bawang+seledri, lada, tepung panir, royko ,",4,61
chicken hainan & nasi hainan simple magic com,"ayam hainan, pcs paha ayam utuh , bawang putih, jahe, batang sereh, daun salam, jeruk nipis lemon, bawang bombay, kecap ikan, minyak wijen, sejumput garam, air matang, kaldu ayam bubuk block , nasi hainan, cup beras, bawang putih, jahe, batang sereh digeprek, daun salam, minyak wijen, sejumput garam, kuah rebusan chicken hainan, margarin, saus hainan, bawang putih parut, kecap manis, kecap asin, minyak wijen, tam pelengkap, ketimun, daun bawang, bawang goreng, emping,",8,62
ayam rica rica super pedes,"ayam potong, bumbu, cabai merah, cabai rawit, bawang putih, bawang merah, kemiri, sachet merica bubuk, sachet ketumbar bubuk, gula merah, kecap manis, garam, penyedap rasa, kunyit, jahe, lengkuas, batang serai, daun salam, daun jeruk, minyak goreng, air,",21,63
ayam goreng,"ayam , , bawang putih , bawang merah , kunyit , ketumbar bubuk, daun salam, daun jeruk, batang serai , garam,",1,64
ayam cabe ijo,"ayam broiler potong bagian, air jeruk nipis, garam, minyak goreng utk menumis, lbr daun jeruk, batang sereh geprek, halus , butir bawang merah, bawang putih, cabe hujau besar, cabe rawit hijau, jahe, kunyit, butir kemiri, garam gula pasir,",8,65
ayam fillet asam manis,"dada ayam tulang, tepung terigu, tepung maizena, putih telur, saus tomat, saus tiram, bawang bombay , bawang putih , garam, gula pasir, merica bubuk,",10,66
ayam ukep sederhana,"ayam broiler, bawang putih ukuran besar, peres ketumbar, kunyit, garam, gula, air,",0,67
